,Student Roll Number,Student Name,No. of Courses Required,Pref 1,Pref 2,Pref 3,Pref 4,Pref 5,Pref 6,Pref 7,Pref 8,Pref 9,Pref 10,Pref 11,Pref 12,Pref 13,Pref 14,Pref 15,Pref 16,Pref 17,Pref 18,Pref 19,Pref 20,Pref 21,Pref 22,Pref 23,Pref 24,Pref 25,Pref 26,Pref 27,Pref 28,Pref 29,Pref 30
49,17110050, ,1,HS017,HS019,HS010,HS002,HS021,HS011,HS005,HS018,HS016,HS022,HS007,HS008,HS013,HS014,HS024,HS001,HS003,HS004,HS006,HS009,HS012,HS015,HS020,HS023,HS025,HS026,HS027,HS028,HS029,HS030
50,17110051, ,3,HS004,HS011,HS003,HS030,HS006,HS014,HS017,HS023,HS024,HS005,HS001,HS013,HS029,HS025,HS018,HS016,HS019,HS002,HS007,HS008,HS009,HS010,HS012,HS015,HS020,HS021,HS022,HS026,HS027,HS028
51,17110052, ,3,HS002,HS007,HS027,HS023,HS017,HS021,HS004,HS030,HS020,HS010,HS012,HS013,HS015,HS025,HS024,HS019,HS011,HS001,HS003,HS009,HS016,HS018,HS028,HS005,HS006,HS008,HS014,HS022,HS026,HS029
52,17110053, ,1,HS003,HS013,HS028,HS002,HS001,HS004,HS005,HS006,HS007,HS008,HS009,HS010,HS011,HS012,HS014,HS015,HS016,HS017,HS018,HS019,HS020,HS021,HS022,HS023,HS024,HS025,HS026,HS027,HS029,HS030
53,17110054, ,1,HS019,HS023,HS025,HS028,HS017,HS020,HS001,HS005,HS002,HS021,HS007,HS008,HS015,HS024,HS010,HS009,HS013,HS022,HS030,HS026,HS014,HS012,HS016,HS004,HS027,HS003,HS006,HS011,HS018,HS029
54,17110055, ,3,HS006,HS010,HS005,HS007,HS009,HS029,HS030,HS018,HS021,HS024,HS027,HS017,HS020,HS026,HS012,HS008,HS015,HS003,HS028,HS004,HS023,HS019,HS014,HS016,HS025,HS011,HS022,HS002,HS013,HS001
55,17110056, ,3,HS024,HS021,HS022,HS018,HS004,HS012,HS003,HS025,HS028,HS008,HS016,HS030,HS005,HS007,HS001,HS027,HS026,HS011,HS013,HS017,HS006,HS023,HS015,HS020,HS002,HS009,HS010,HS014,HS019,HS029
56,17110057, ,3,HS007,HS020,HS015,HS008,HS030,HS013,HS004,HS001,HS002,HS003,HS005,HS006,HS009,HS010,HS011,HS012,HS014,HS016,HS017,HS018,HS019,HS021,HS022,HS023,HS024,HS025,HS026,HS027,HS028,HS029
57,17110058, ,1,HS017,HS006,HS001,HS002,HS003,HS004,HS005,HS007,HS008,HS009,HS010,HS011,HS012,HS013,HS014,HS015,HS016,HS018,HS019,HS020,HS021,HS022,HS023,HS024,HS025,HS026,HS027,HS028,HS029,HS030
58,17110059, ,1,HS018,HS014,HS017,HS004,HS024,HS007,HS008,HS015,HS025,HS028,HS002,HS001,HS003,HS005,HS006,HS009,HS010,HS011,HS012,HS013,HS016,HS019,HS020,HS021,HS022,HS023,HS026,HS027,HS029,HS030
59,17110060, ,1,HS026,HS003,HS030,HS015,HS001,HS005,HS023,HS010,HS012,HS024,HS027,HS019,HS029,HS004,HS028,HS009,HS013,HS002,HS025,HS006,HS021,HS011,HS008,HS014,HS007,HS020,HS016,HS017,HS018,HS022
60,17110061, ,1,HS002,HS025,HS016,HS001,HS003,HS004,HS005,HS006,HS007,HS008,HS009,HS010,HS011,HS012,HS013,HS014,HS015,HS017,HS018,HS019,HS020,HS021,HS022,HS023,HS024,HS026,HS027,HS028,HS029,HS030
61,17110062, ,2,HS026,HS022,HS025,HS010,HS020,HS004,HS029,HS001,HS002,HS003,HS005,HS006,HS007,HS008,HS009,HS011,HS012,HS013,HS014,HS015,HS016,HS017,HS018,HS019,HS021,HS023,HS024,HS027,HS028,HS030
62,17110063, ,3,HS015,HS019,HS001,HS002,HS003,HS004,HS005,HS006,HS007,HS008,HS009,HS010,HS011,HS012,HS013,HS014,HS016,HS017,HS018,HS020,HS021,HS022,HS023,HS024,HS025,HS026,HS027,HS028,HS029,HS030
63,17110064, ,1,HS029,HS021,HS030,HS026,HS018,HS010,HS008,HS001,HS027,HS012,HS011,HS002,HS003,HS004,HS005,HS006,HS007,HS009,HS013,HS014,HS015,HS016,HS017,HS019,HS020,HS022,HS023,HS024,HS025,HS028
64,17110065, ,2,HS022,HS028,HS010,HS029,HS025,HS023,HS001,HS002,HS003,HS004,HS005,HS006,HS007,HS008,HS009,HS011,HS012,HS013,HS014,HS015,HS016,HS017,HS018,HS019,HS020,HS021,HS024,HS026,HS027,HS030
65,17110066, ,2,HS005,HS001,HS002,HS003,HS004,HS006,HS007,HS008,HS009,HS010,HS011,HS012,HS013,HS014,HS015,HS016,HS017,HS018,HS019,HS020,HS021,HS022,HS023,HS024,HS025,HS026,HS027,HS028,HS029,HS030
66,17110067, ,3,HS018,HS022,HS009,HS027,HS025,HS024,HS006,HS029,HS030,HS001,HS012,HS013,HS005,HS017,HS002,HS019,HS028,HS023,HS008,HS010,HS011,HS003,HS004,HS007,HS014,HS015,HS016,HS020,HS021,HS026
67,17110068, ,1,HS001,HS024,HS017,HS006,HS004,HS028,HS022,HS015,HS014,HS029,HS007,HS012,HS002,HS023,HS019,HS026,HS020,HS027,HS003,HS005,HS008,HS009,HS010,HS011,HS013,HS016,HS018,HS021,HS025,HS030
68,17110069, ,2,HS019,HS023,HS022,HS021,HS006,HS020,HS027,HS009,HS001,HS026,HS013,HS012,HS029,HS005,HS024,HS017,HS003,HS007,HS011,HS002,HS004,HS008,HS010,HS014,HS015,HS016,HS018,HS025,HS028,HS030
69,17110070, ,3,HS021,HS027,HS016,HS025,HS018,HS029,HS013,HS004,HS014,HS005,HS012,HS006,HS011,HS010,HS020,HS030,HS024,HS019,HS026,HS028,HS001,HS002,HS003,HS007,HS008,HS009,HS015,HS017,HS022,HS023
70,17110071, ,3,HS001,HS017,HS013,HS018,HS005,HS003,HS009,HS021,HS006,HS029,HS020,HS014,HS007,HS002,HS028,HS011,HS012,HS023,HS025,HS008,HS019,HS016,HS015,HS004,HS010,HS022,HS024,HS026,HS027,HS030
71,17110072, ,3,HS016,HS014,HS025,HS015,HS007,HS008,HS009,HS003,HS010,HS005,HS023,HS017,HS022,HS019,HS004,HS030,HS026,HS001,HS002,HS006,HS011,HS012,HS013,HS018,HS020,HS021,HS024,HS027,HS028,HS029
72,17110073, ,2,HS017,HS005,HS013,HS023,HS001,HS021,HS007,HS002,HS003,HS004,HS006,HS008,HS009,HS010,HS011,HS012,HS014,HS015,HS016,HS018,HS019,HS020,HS022,HS024,HS025,HS026,HS027,HS028,HS029,HS030
73,17110074, ,3,HS021,HS025,HS015,HS028,HS023,HS022,HS001,HS004,HS018,HS026,HS012,HS008,HS007,HS002,HS003,HS005,HS006,HS009,HS010,HS011,HS013,HS014,HS016,HS017,HS019,HS020,HS024,HS027,HS029,HS030
74,17110075, ,3,HS012,HS020,HS029,HS014,HS001,HS016,HS025,HS026,HS024,HS013,HS027,HS018,HS030,HS007,HS004,HS022,HS002,HS003,HS005,HS006,HS008,HS009,HS010,HS011,HS015,HS017,HS019,HS021,HS023,HS028
75,17110076, ,2,HS004,HS025,HS009,HS020,HS012,HS019,HS014,HS003,HS029,HS017,HS007,HS008,HS021,HS013,HS026,HS030,HS002,HS018,HS006,HS001,HS027,HS015,HS010,HS022,HS005,HS011,HS016,HS023,HS024,HS028
76,17110077, ,2,HS007,HS015,HS005,HS010,HS016,HS021,HS019,HS018,HS028,HS001,HS002,HS003,HS004,HS006,HS008,HS009,HS011,HS012,HS013,HS014,HS017,HS020,HS022,HS023,HS024,HS025,HS026,HS027,HS029,HS030
77,17110078, ,3,HS016,HS002,HS004,HS019,HS028,HS030,HS029,HS007,HS001,HS018,HS027,HS006,HS009,HS022,HS026,HS023,HS005,HS015,HS010,HS011,HS012,HS003,HS020,HS014,HS008,HS017,HS021,HS024,HS025,HS013
78,17110079, ,1,HS027,HS026,HS020,HS004,HS008,HS018,HS010,HS012,HS025,HS006,HS013,HS009,HS011,HS015,HS002,HS001,HS003,HS005,HS007,HS014,HS016,HS017,HS019,HS021,HS022,HS023,HS024,HS028,HS029,HS030
79,17110080, ,1,HS028,HS003,HS013,HS017,HS010,HS022,HS030,HS025,HS015,HS012,HS023,HS024,HS001,HS002,HS004,HS005,HS006,HS007,HS008,HS009,HS011,HS014,HS016,HS018,HS019,HS020,HS021,HS026,HS027,HS029
80,17110081, ,1,HS016,HS001,HS002,HS003,HS004,HS005,HS006,HS007,HS008,HS009,HS010,HS011,HS012,HS013,HS014,HS015,HS017,HS018,HS019,HS020,HS021,HS022,HS023,HS024,HS025,HS026,HS027,HS028,HS029,HS030
81,17110082, ,1,HS029,HS004,HS002,HS020,HS014,HS018,HS013,HS027,HS025,HS021,HS015,HS019,HS003,HS028,HS024,HS009,HS012,HS022,HS007,HS016,HS001,HS006,HS005,HS008,HS010,HS011,HS017,HS023,HS026,HS030
82,17110083, ,2,HS006,HS011,HS025,HS001,HS027,HS010,HS022,HS021,HS017,HS002,HS003,HS004,HS005,HS007,HS008,HS009,HS012,HS013,HS014,HS015,HS016,HS018,HS019,HS020,HS023,HS024,HS026,HS028,HS029,HS030
83,17110084, ,3,HS025,HS005,HS008,HS015,HS028,HS002,HS004,HS018,HS027,HS022,HS016,HS006,HS012,HS019,HS009,HS026,HS001,HS003,HS007,HS010,HS011,HS013,HS014,HS017,HS020,HS021,HS023,HS024,HS029,HS030
84,17110085, ,3,HS017,HS011,HS018,HS004,HS020,HS019,HS013,HS016,HS026,HS012,HS015,HS001,HS005,HS028,HS006,HS003,HS023,HS025,HS030,HS027,HS029,HS008,HS009,HS024,HS002,HS007,HS010,HS014,HS021,HS022
85,17110086, ,1,HS011,HS007,HS014,HS026,HS008,HS016,HS001,HS002,HS003,HS004,HS005,HS006,HS009,HS010,HS012,HS013,HS015,HS017,HS018,HS019,HS020,HS021,HS022,HS023,HS024,HS025,HS027,HS028,HS029,HS030
86,17110087, ,2,HS021,HS002,HS026,HS029,HS027,HS005,HS020,HS025,HS024,HS010,HS022,HS007,HS015,HS009,HS003,HS011,HS006,HS017,HS016,HS018,HS023,HS019,HS013,HS001,HS004,HS008,HS012,HS014,HS028,HS030
87,17110088, ,2,HS023,HS001,HS018,HS011,HS007,HS029,HS026,HS022,HS002,HS024,HS030,HS009,HS021,HS013,HS020,HS017,HS015,HS003,HS010,HS016,HS028,HS006,HS004,HS005,HS008,HS012,HS014,HS019,HS025,HS027
88,17110089, ,3,HS013,HS007,HS027,HS019,HS009,HS005,HS025,HS004,HS015,HS023,HS030,HS003,HS014,HS022,HS011,HS029,HS018,HS017,HS012,HS010,HS024,HS021,HS026,HS006,HS016,HS001,HS028,HS002,HS008,HS020
89,17110090, ,1,HS001,HS006,HS017,HS015,HS028,HS020,HS021,HS016,HS024,HS002,HS003,HS004,HS005,HS007,HS008,HS009,HS010,HS011,HS012,HS013,HS014,HS018,HS019,HS022,HS023,HS025,HS026,HS027,HS029,HS030
90,17110091, ,2,HS008,HS027,HS017,HS015,HS001,HS029,HS020,HS016,HS022,HS012,HS026,HS005,HS025,HS002,HS009,HS007,HS011,HS028,HS003,HS004,HS006,HS010,HS013,HS014,HS018,HS019,HS021,HS023,HS024,HS030
91,17110092, ,1,HS023,HS002,HS024,HS006,HS025,HS028,HS011,HS010,HS014,HS018,HS020,HS029,HS001,HS003,HS004,HS005,HS007,HS008,HS009,HS012,HS013,HS015,HS016,HS017,HS019,HS021,HS022,HS026,HS027,HS030
92,17110093, ,2,HS027,HS010,HS017,HS028,HS022,HS003,HS013,HS002,HS019,HS030,HS014,HS023,HS009,HS024,HS026,HS001,HS004,HS005,HS006,HS007,HS008,HS011,HS012,HS015,HS016,HS018,HS020,HS021,HS025,HS029
93,17110094, ,2,HS015,HS001,HS002,HS003,HS004,HS005,HS006,HS007,HS008,HS009,HS010,HS011,HS012,HS013,HS014,HS016,HS017,HS018,HS019,HS020,HS021,HS022,HS023,HS024,HS025,HS026,HS027,HS028,HS029,HS030
94,17110095, ,2,HS014,HS004,HS001,HS002,HS003,HS005,HS006,HS007,HS008,HS009,HS010,HS011,HS012,HS013,HS015,HS016,HS017,HS018,HS019,HS020,HS021,HS022,HS023,HS024,HS025,HS026,HS027,HS028,HS029,HS030
95,17110096, ,1,HS016,HS019,HS024,HS014,HS022,HS027,HS001,HS009,HS015,HS012,HS010,HS030,HS020,HS007,HS021,HS023,HS011,HS028,HS006,HS005,HS013,HS026,HS002,HS003,HS004,HS008,HS017,HS018,HS025,HS029
96,17110097, ,3,HS015,HS010,HS011,HS012,HS023,HS007,HS008,HS013,HS022,HS026,HS018,HS004,HS002,HS006,HS009,HS025,HS005,HS028,HS016,HS003,HS020,HS014,HS029,HS027,HS017,HS021,HS001,HS024,HS030,HS019
97,17110098, ,2,HS027,HS001,HS015,HS010,HS030,HS002,HS024,HS026,HS003,HS004,HS005,HS006,HS007,HS008,HS009,HS011,HS012,HS013,HS014,HS016,HS017,HS018,HS019,HS020,HS021,HS022,HS023,HS025,HS028,HS029
98,17110099, ,1,HS030,HS002,HS015,HS005,HS027,HS020,HS023,HS026,HS004,HS013,HS011,HS014,HS006,HS016,HS018,HS008,HS009,HS019,HS017,HS003,HS007,HS025,HS001,HS010,HS024,HS029,HS021,HS022,HS012,HS028
99,17110100, ,1,HS024,HS013,HS009,HS001,HS002,HS003,HS004,HS005,HS006,HS007,HS008,HS010,HS011,HS012,HS014,HS015,HS016,HS017,HS018,HS019,HS020,HS021,HS022,HS023,HS025,HS026,HS027,HS028,HS029,HS030
100,17110101, ,2,HS030,HS013,HS029,HS020,HS005,HS011,HS025,HS003,HS021,HS001,HS006,HS022,HS024,HS018,HS004,HS023,HS015,HS027,HS002,HS007,HS008,HS009,HS010,HS012,HS014,HS016,HS017,HS019,HS026,HS028
101,17110102, ,1,HS026,HS017,HS025,HS021,HS009,HS014,HS005,HS028,HS001,HS002,HS003,HS004,HS006,HS007,HS008,HS010,HS011,HS012,HS013,HS015,HS016,HS018,HS019,HS020,HS022,HS023,HS024,HS027,HS029,HS030
102,17110103, ,1,HS001,HS002,HS003,HS004,HS005,HS006,HS007,HS008,HS009,HS010,HS011,HS012,HS013,HS014,HS015,HS016,HS017,HS018,HS019,HS020,HS021,HS022,HS023,HS024,HS025,HS026,HS027,HS028,HS029,HS030
103,17110104, ,3,HS010,HS028,HS024,HS018,HS015,HS001,HS002,HS003,HS004,HS005,HS006,HS007,HS008,HS009,HS011,HS012,HS013,HS014,HS016,HS017,HS019,HS020,HS021,HS022,HS023,HS025,HS026,HS027,HS029,HS030
