,Course Code,Course Name,Course Cap,Allocated Students
10,HS 425,Introduction to Archaeology,40,"191100830, 191100831, 191100832, 191100833, 191100834, 191101150, 191101151, 191101152, 191101153, 191101154, 205200070, 205200071, 205200072, 205200073, 205200074, 205700060, 205700061, 205700062, 205700063, 205700064, 181101380, 181101381, 181101382, 181101383, 181101384, 202500100, 202500101, 202500102, 202500103, 202500104, 192100260, 192100261, 192100262, 192100263, 192100264, 202500321, 202500323, 181101920, 181101923, 181100890"
11,HS 491-I,Special Topics in HSS: Indian philosophy through the ages,40,"181101730, 181101731, 181101732, 181101733, 181101734, 181100440, 181100441, 181100442, 181100443, 181100444, 181100520, 181100521, 181100522, 181100523, 181100524, 181101920, 181101921, 181101922, 181101923, 181101924, 181100921, 181100923, 181100920, 181100922, 181100924, 205200030, 205200031, 205200032, 205200033, 205200034"
12,HS 491-II,Special Topics in HSS: The ‘engineering’ of theatre-making,40,"202500170, 202500171, 202500172, 202500173, 202500174, 205200260, 205200262, 205200264, 171100740, 181100742, 181100743, 181100744, 205200261, 205200263, 171100742, 181100740, 181100741"
13,HS 491-III,Special Topics in HSS: Storytelling for the Digital Era,40,"195200180, 195200181, 195200182, 195200183, 195200184, 205200020, 205200021, 205200022, 205200023, 205200024, 205700012, 205700014, 202500080, 202500081, 202500082, 202500083, 202500150, 202500151, 202500152, 202500153, 205200260, 205200262, 205200264, 191100670, 191100671, 191100672, 191100673, 191100674, 181101921, 181101922, 181101924, 205200261, 205200263, 181101920, 181101923"
14,HS 507,"Humanism, Anti-Humanism, and Posthumanism",40,"205100170, 205100171, 205100172, 205100173, 205100174, 205200020, 205200021, 205200022, 205200023, 205200024, 205200170, 205200171, 205200172, 205200173, 205200174"
15,HS 510,Perspectives on Indian Civilization,40,"181100430, 181100431, 181100432, 181100433, 181100434, 191101860, 191101861, 191101862, 191101863, 191101864, 202500071, 202500072, 205200070, 205200071, 205200072, 205200073, 205200074, 181100050, 181100051, 181100052, 181100054, 181100053, 205200250, 205200251, 205200252, 205200253, 205200254, 205200170, 205200171, 205200172, 205200173, 205200174"
16,HS 512,Political Thought,40,"191100300, 191100301, 191100302, 191100303, 191100304, 191101700, 191101701, 191101702, 191101703, 191101704, 202500340, 202500341, 202500342, 202500343, 202500344, 202100100, 202100101, 202100102, 202100103, 202100104, 191102080, 191102081, 191102082, 191102083, 205200070, 205200071, 205200072, 205200073, 205200074, 191102084, 195200160, 195200161, 195200162, 195200163, 195200164, 205200170, 205200171, 205200172, 205200173, 205200174"
17,HS 515,The Politics of the Environment,40,"191101220, 191101221, 191101222, 191101223, 191101224, 205200170, 205200171, 205200172, 205200173, 205200174, 161101680, 161101681, 161101682, 161101683, 161101684, 205200030, 205200031, 205200032, 205200033, 205200034, 205200211, 205200212, 205200213, 205200214, 205200210, 205100170, 205100171, 205100172, 205100173, 205100174"
18,HS 518,"Philosophy, Cognition and Psychoanalysis",40,"205100080, 205100081, 205100082, 205100083, 205100084, 205100170, 205100171, 205100172, 205100173, 205100174, 205200060, 205200061, 205200062, 205200063, 205200064"
19,HS 519,Linguistic Anthropology,40,"205200010, 205200011, 205200012, 205200013, 205200014, 195100280, 195100281, 195100282, 195100283, 195100284, 205200060, 205200061, 205200062, 205200063, 205200064, 205100010, 205100011, 205100012, 205100013, 205100014, 195200180, 195200181, 195200182, 195200183, 195200184, 205200120, 205200121, 205200122, 205200123, 205200124, 195200160, 195200161, 195200162, 195200163, 195200164, 205100170, 205100171, 205100172, 205100173, 205100174"
20,HS 610,A Critical Journey Through Select Thoughts and Theories,40,"205200120, 205200121, 205200122, 205200123, 205200124, 191101950, 191101951, 191101952, 191101953, 191101954, 205200060, 205200061, 205200062, 205200063, 205200064"
21,HS 645,"History of India, 1930-1964",40,"202100080, 202100081, 202100082, 202100083, 202100084, 191101500, 191101501, 191101502, 191101503, 191101504, 191102080, 191102081, 191102082, 191102083, 191102084, 205100980, 205100983, 205200250, 205200251, 205200252, 205200253, 205200254, 195200160, 195200161, 195200162, 195200163, 195200164, 205200070, 205200071, 205200072, 205200073, 205200074"
22,HS 691-I,Special Topics in HSS: Themes in Postcolonialism,40,"195200160, 195200161, 195200162, 195200163, 195200164, 205200250, 205200251, 205200252, 205200253, 205200254"
23,HS 691-II,Special topics in HSS: Applied statistics: Multilevel modeling,30,"202500220, 202500221, 202500222, 202500223, 202500224, 202500360, 202500361, 202500362, 202500363, 202500364, 191100930, 191100931, 191100932, 191100933, 191100934"
24,IN 304,Ancient Indian Technology,40,"181100742, 181100743, 181100744, 181101894, 181100330, 181100334, 181100740, 181100741, 181101380, 181101381, 181101382, 181101383, 181101384, 181101890, 181101891, 181101892, 181101893, 181100331, 181100332, 181100333, 181100680, 181100683"
25,MS 304,Organizational Behaviour & Human Resource Management (OB & HRM),40,"181100710, 181100711, 181100712, 181100713, 181100714, 191100040, 191100041, 191100042, 191100043, 191100044, 191100210, 191100211, 191100212, 191100213, 191100214, 191100580, 191100581, 191100582, 191100583, 191100584, 191100670, 191100671, 191100672, 191100673, 191100674, 171100780, 171100781, 171100782, 171100783, 171100784, 181100622, 191101703, 181100901, 181101763, 171101551, 181100903, 171101550, 181100621, 181101761, 191101702"
26,MS 403,Engineering Entrepreneurship,40,"181101230, 181101231, 181101232, 181101233, 181101234, 181100130, 181100131, 181100132, 181100133, 181100134, 181101310, 181101311, 181101312, 181101313, 181101314, 191101240, 191101241, 191101242, 191101243, 191101244, 191100460, 191100461, 191100462, 191100463, 191100464, 191100330, 191100331, 191100332, 191100333, 191100334, 181100010, 171101751, 181100053, 191101672, 191101671, 181100712, 191102084, 171101430, 181100714, 191101670"
27,MS 491,Special topics in Management: Marketing Analytics,40,"171101430, 171101431, 171101432, 171101433, 171101434, 181100050, 181100051, 181100052, 181100053, 181100054, 202100060, 202100061, 202100062, 202100063, 202100064, 181101090, 181101091, 181101092, 181101093, 181101094, 181100370, 181100371, 181100372, 181100373, 181100374, 181100810, 181100811, 181100812, 181100813, 181100814, 181100692, 181101344, 181101341, 181100694, 181100691, 181101343, 181100690, 181101342, 181100322, 181100693"
28,HS 691-III,Special Topics in HSS: Abnormal Psychology,40,"181101620, 181101621, 181101622, 181101623, 181101624, 191101330, 191101331, 191101332, 191101333, 191101334, 205100140, 205100141, 205100142, 205100143, 205100144, 191100710, 191100711, 191100712, 191100713, 191100714, 195100250, 195100251, 195100252, 195100253, 195100254, 181100273, 205200120, 205200121, 205200122, 205200123, 205200124, 181100270, 181100271, 181100272, 181100274, 181100510, 181100511, 181100512, 181100513, 181100514"
29,HS 327,"Anthropology, Citizenship and Human Rights (Half Sem course, 2nd Half)",40,"181100680, 181100683, 181100890, 181100790, 181100791, 181100792, 181100793, 181100794, 181100681, 181100682, 181100684, 181100891, 181100892, 181100893, 181100894, 171100941, 171100942, 181101542, 181101543, 181101544, 171100940, 171100943, 195200160, 195200161, 195200162, 195200163, 195200164, 205200170, 205200171, 205200172, 205200173, 205200174"
30,MS 492,"Special Topics in Management: Finance Management (2 credit course that will run for entire semester, ~2 hours each week)",40,"181101760, 181101761, 181101762, 181101763, 181101764, 191101250, 191101251, 191101252, 191101253, 191101254, 181101410, 181101411, 181101412, 181101413, 181101414, 171101751, 171100941, 171100942, 181101881, 181101883, 181100322, 191100581, 181101310, 181101540, 181100324, 171100944, 181100321, 205200210, 181101314, 191100583, 171101754, 181101311, 191100580, 191100333, 181101541, 181101313, 191100212, 191100463, 191100334, 191100213"
31,MS 491-I,Special Topics in Management: Product Management,40,"181101144, 181100011, 181100922, 195100241, 171100943, 181100693, 171101753, 181101042, 181101473, 181100690, 195100243, 181100924, 171101754, 181101142, 181100920, 181101342, 171100944, 181101343, 181101884, 181100013, 181101044, 171101752, 181100012, 202500414, 171100940, 202500412, 181101880, 171101750, 181101140, 181101471, 181101474, 181100014, 181100691, 181101340, 181101882, 202500413, 181101341, 195100244, 202500411, 181100694"
