,Course Code,Course Name,Course Cap,Allocated Students
10,HS011, ,40,"17110024, 17110086, 17110114, 17110118, 17110169, 17110179, 17110216, 17110244, 18110016, 18110032, 18110044, 18110089, 18110148, 18110186, 18110187, 18110190, 18110204, 18110248, 19110036, 19110101, 19110152, 19110177, 19110178, 19110233, 19110235, 20110034, 20110036, 20110062, 20110064, 20110104, 20110107, 20110130, 20110195, 20110230, 20110232, 20110157, 18110060, 17110051, 17110223, 18110116"
11,HS012, ,40,"17110075, 17110113, 17110137, 17110142, 17110187, 17110191, 17110204, 17110207, 18110002, 18110013, 18110045, 18110094, 18110128, 18110152, 18110181, 18110192, 18110218, 19110011, 19110055, 19110091, 19110092, 19110145, 19110156, 19110192, 19110200, 19110208, 19110222, 19110250, 20110043, 20110061, 20110151, 20110182, 20110184, 20110209, 20110007, 20110196, 18110201, 20110064, 17110014, 20110107"
12,HS013, ,40,"17110011, 17110035, 17110089, 17110109, 17110123, 17110134, 17110182, 17110189, 17110237, 17110242, 17110246, 18110034, 18110230, 18110237, 18110238, 19110060, 19110066, 19110076, 19110097, 19110121, 19110163, 19110198, 19110242, 19110243, 20110026, 20110045, 20110065, 20110081, 20110090, 20110101, 20110108, 20110122, 20110156, 20110223, 20110228, 20110229, 18110098, 19110130, 20110153, 19110135"
13,HS014, ,40,"17110022, 17110027, 17110095, 17110122, 17110193, 17110219, 18110063, 18110064, 18110067, 18110106, 18110150, 18110154, 19110015, 19110115, 19110118, 19110134, 19110185, 19110221, 20110041, 20110095, 20110118, 20110138, 20110190, 20110216, 19110156, 18110085, 20110224, 20110047, 17110072, 17110003, 18110135, 17110237, 18110066, 20110061, 18110065, 20110187, 17110015, 19110043, 19110064, 19110180"
14,HS015, ,40,"17110032, 17110063, 17110094, 17110097, 17110135, 17110136, 17110139, 17110152, 17110156, 17110172, 17110183, 17110188, 17110223, 17110227, 18110066, 18110096, 18110120, 18110143, 18110163, 18110205, 18110206, 19110022, 19110033, 19110140, 19110154, 19110170, 19110189, 19110227, 19110234, 20110005, 20110028, 20110046, 20110113, 20110175, 20110199, 20110202, 20110247, 18110147, 18110118, 20110207"
15,HS016, ,40,"17110008, 17110013, 17110045, 17110072, 17110078, 17110081, 17110096, 17110110, 17110150, 17110221, 18110003, 18110028, 18110127, 18110156, 18110178, 18110182, 18110191, 18110209, 18110219, 18110222, 18110250, 19110082, 19110093, 19110172, 19110191, 19110194, 19110248, 20110006, 20110014, 20110126, 20110114, 18110032, 18110009, 18110125, 20110203, 20110209, 19110014, 20110232, 18110241, 19110019"
16,HS017, ,40,"17110023, 17110026, 17110030, 17110031, 17110050, 17110058, 17110073, 17110085, 17110107, 17110117, 17110125, 17110126, 17110186, 17110196, 17110233, 17110240, 18110004, 18110065, 18110086, 18110137, 18110138, 18110217, 19110018, 19110042, 19110073, 19110078, 19110084, 19110126, 19110137, 19110213, 19110236, 20110029, 20110035, 20110079, 20110084, 20110103, 20110106, 20110137, 20110166, 18110029"
17,HS018, ,40,"17110018, 17110046, 17110059, 17110067, 17110174, 17110185, 17110249, 17110250, 18110173, 18110202, 18110223, 19110005, 19110008, 19110027, 19110028, 19110053, 19110064, 19110086, 19110108, 19110124, 19110138, 19110143, 19110173, 19110175, 19110180, 20110057, 20110077, 20110078, 20110094, 20110160, 20110193, 20110221, 20110222, 17110191, 20110199, 19110241, 19110176, 19110147, 17110119, 19110178"
18,HS019, ,40,"17110010, 17110037, 17110041, 17110042, 17110054, 17110069, 17110232, 17110235, 18110035, 18110130, 18110135, 18110211, 19110032, 19110050, 19110054, 19110068, 19110072, 19110113, 19110125, 19110146, 19110164, 19110193, 19110196, 20110010, 20110017, 20110019, 20110021, 20110022, 20110155, 20110192, 18110047, 19110041, 18110137, 20110158, 18110055, 19110244, 19110181, 18110191, 18110204, 19110097"
19,HS020, ,40,"17110015, 17110025, 17110153, 17110180, 17110247, 18110008, 18110015, 18110049, 18110057, 18110060, 18110078, 18110216, 19110016, 19110021, 19110035, 19110041, 19110087, 19110141, 20110042, 20110050, 20110086, 20110142, 20110165, 20110177, 20110231, 20110244, 17110127, 17110181, 18110022, 18110199, 18110223, 17110075, 17110137, 18110131, 18110017, 18110180, 19110105, 20110079, 19110079, 18110102"
20,HS021, ,40,"17110070, 17110074, 17110087, 17110115, 17110241, 18110023, 18110053, 18110068, 18110099, 18110189, 18110241, 19110025, 19110030, 19110065, 19110099, 19110128, 19110225, 20110049, 20110147, 20110248, 19110069, 18110154, 19110088, 19110005, 17110056, 19110117, 19110072, 17110195, 19110023, 17110152, 18110038, 20110181, 20110182, 18110183, 19110066, 17110246, 19110068, 17110154, 20110018, 18110046"
21,HS022, ,40,"20110191, 20110245, 20110067, 18110151, 18110159, 17110243, 19110209, 18110166, 20110087, 20110205, 19110063, 20110224, 20110164, 17110176, 17110199, 17110200, 19110215, 20110237, 20110235, 19110052, 20110102, 18110108, 20110133, 20110047, 18110102, 20110012, 17110195, 19110161, 20110052, 18110179, 18110122, 17110168, 17110036, 17110065, 17110105, 19110169, 20110100, 18110071, 19110127, 17110205"
22,HS023, ,40,"17110004, 17110020, 17110088, 17110092, 17110133, 17110163, 17110165, 17110171, 17110217, 17110228, 17110230, 17110231, 17110248, 18110017, 18110022, 18110062, 18110103, 18110165, 18110188, 18110236, 19110085, 19110110, 19110151, 19110160, 19110238, 20110011, 20110024, 20110025, 20110048, 20110072, 20110082, 20110150, 20110158, 20110226, 20110234, 19110244, 17110145, 20110210, 20110202, 20110144"
23,HS024, ,40,"17110009, 17110047, 17110056, 17110100, 17110119, 17110181, 17110210, 18110055, 18110069, 18110087, 18110116, 18110142, 18110155, 18110203, 18110239, 18110243, 19110013, 19110071, 19110079, 19110083, 19110106, 19110111, 19110133, 19110148, 19110204, 19110228, 19110249, 20110023, 20110074, 20110124, 20110149, 20110180, 20110196, 18110109, 20110192, 18110138, 17110248, 20110197, 18110076, 18110062"
24,HS025, ,40,"19110044, 17110132, 19110023, 18110012, 19110061, 17110203, 20110240, 17110155, 18110077, 19110123, 19110162, 19110077, 19110029, 20110204, 18110136, 17110033, 18110011, 19110186, 18110079, 18110212, 17110184, 17110006, 18110172, 19110020, 20110169, 19110147, 18110193, 20110208, 17110084, 17110034, 20110181, 19110057, 17110144, 19110058, 20110085, 18110240, 18110144, 20110031, 20110179, 19110241"
25,HS026, ,40,"17110048, 17110060, 17110062, 17110102, 17110121, 17110141, 18110014, 18110056, 18110084, 18110111, 18110146, 18110232, 19110017, 19110043, 19110080, 19110098, 19110102, 19110150, 19110174, 19110187, 19110190, 19110197, 19110199, 19110207, 20110055, 20110068, 20110168, 20110170, 20110198, 20110227, 18110133, 19110138, 19110213, 19110212, 17110244, 19110149, 18110053, 18110057, 19110224, 18110148"
26,HS027, ,40,"18110100, 17110093, 19110046, 20110060, 20110213, 20110218, 18110061, 18110007, 19110090, 18110200, 20110134, 20110219, 20110080, 18110246, 20110115, 17110079, 20110037, 17110177, 20110148, 19110184, 20110173, 19110135, 17110206, 19110070, 17110040, 17110160, 19110144, 17110098, 18110114, 20110111, 18110037, 18110021, 20110233, 17110128, 20110076, 19110031, 19110157, 19110201, 19110211, 18110213"
27,HS028, ,40,"17110005, 17110007, 17110080, 17110108, 17110111, 17110112, 17110161, 17110175, 17110222, 17110238, 18110018, 18110039, 18110075, 18110088, 18110117, 18110183, 18110220, 18110228, 18110235, 18110244, 18110245, 19110001, 19110069, 19110094, 19110105, 19110171, 19110203, 19110219, 19110237, 20110004, 20110098, 20110105, 20110128, 20110131, 20110146, 20110154, 20110194, 20110220, 20110238, 20110239"
28,HS029, ,40,"17110064, 17110082, 17110138, 17110190, 17110198, 17110208, 18110040, 18110052, 18110090, 18110097, 18110107, 18110160, 18110170, 18110174, 18110215, 18110225, 19110014, 19110107, 19110216, 19110223, 19110224, 19110232, 20110008, 20110013, 20110038, 20110123, 20110144, 20110145, 20110200, 18110058, 19110159, 18110150, 18110213, 19110053, 20110193, 19110062, 18110020, 19110013, 18110210, 17110199"
29,HS030, ,40,"17110029, 17110038, 17110099, 17110101, 17110106, 17110157, 17110170, 17110201, 17110229, 18110009, 18110041, 18110047, 18110051, 18110070, 18110201, 18110208, 19110019, 19110045, 19110120, 19110159, 19110226, 20110007, 20110088, 20110119, 20110132, 20110152, 20110189, 18110245, 20110078, 20110016, 18110099, 19110026, 18110007, 19110136, 18110068, 17110122, 20110052, 18110049, 20110022, 18110181"
